epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0919,1.22528,3.86705,1.48988,0.18537,0.71127,0.19158,0.13212,0.98638,3.98427,1.2387,3.75e-05,3.75e-05,3.75e-05
2,44.9005,1.0047,1.85255,1.31263,0.90711,0.43662,0.45295,0.33207,0.98658,2.22515,1.1462,8.66338e-05,8.66338e-05,8.66338e-05
3,65.4697,0.86008,1.1123,1.17534,0.89622,0.44366,0.466,0.33935,1.02425,2.29625,1.14123,0.000134777,0.000134777,0.000134777
4,85.1203,0.8124,0.98864,1.12439,0.83925,0.49296,0.45007,0.33866,0.93745,2.3828,1.10404,0.000181931,0.000181931,0.000181931
5,105.41,0.68211,0.82608,1.01735,0.84547,0.4507,0.43461,0.32315,0.91648,2.35016,1.11974,0.000228095,0.000228095,0.000228095
6,125.76,0.7554,0.74639,1.06557,0.88735,0.4507,0.44095,0.3308,0.93463,1.62639,1.17521,0.000273269,0.000273269,0.000273269
7,145.557,0.74436,0.72087,1.05561,0.91347,0.43662,0.45043,0.34611,0.87215,1.37609,1.20652,0.000317452,0.000317452,0.000317452
8,165.176,0.67972,0.63001,1.00653,0.92353,0.43662,0.45162,0.3465,0.93632,1.34384,1.23125,0.000360646,0.000360646,0.000360646
9,185.127,0.67864,0.65692,1.01129,0.93238,0.45031,0.45843,0.34969,0.87398,1.06971,1.16564,0.00040285,0.00040285,0.00040285
10,204.876,0.72911,0.63593,1.0427,0.42026,0.99296,0.58863,0.46883,0.90339,1.12654,1.21119,0.000444064,0.000444064,0.000444064
11,225.081,0.66572,0.63823,1.01719,0.65056,0.93662,0.7083,0.58705,0.87873,0.98477,1.17729,0.000484288,0.000484288,0.000484288
12,245.221,0.62008,0.57408,0.97581,0.42792,0.44366,0.45574,0.34844,0.91628,1.25559,1.21777,0.000523521,0.000523521,0.000523521
13,265.662,0.66225,0.53363,1.02848,0.42919,0.4269,0.44989,0.34981,0.89682,1.15965,1.21502,0.000561765,0.000561765,0.000561765
14,285.721,0.61395,0.51126,0.99124,0.43745,0.39398,0.46643,0.35881,0.93347,1.02701,1.22537,0.000599019,0.000599019,0.000599019
15,306.095,0.68882,0.58038,1.02206,0.49823,0.89437,0.51524,0.3902,0.92449,1.17962,1.20399,0.000635282,0.000635282,0.000635282
16,326.251,0.6425,0.5381,1.02047,0.5921,0.86337,0.9301,0.71577,0.9213,1.30228,1.20287,0.000670556,0.000670556,0.000670556
17,346.174,0.64061,0.50072,1.01129,0.80199,0.84507,0.9395,0.77527,0.91522,1.26674,1.23433,0.00070484,0.00070484,0.00070484
18,366.096,0.64979,0.5341,1.00311,0.8332,0.89023,0.93191,0.76659,0.95565,1.20027,1.28982,0.000738134,0.000738134,0.000738134
19,386.177,0.6535,0.48815,1.00247,0.58492,0.90845,0.67425,0.5418,0.95557,1.14325,1.30321,0.000770438,0.000770438,0.000770438
20,405.529,0.6182,0.50062,0.97768,0.57977,0.87416,0.65655,0.53568,0.93843,1.03116,1.2593,0.000801751,0.000801751,0.000801751
21,424.017,0.67855,0.52085,1.03329,0.67714,0.72535,0.67399,0.54398,0.95812,0.97615,1.2036,0.000832075,0.000832075,0.000832075
22,443.567,0.6331,0.5352,1.02507,0.71454,0.74648,0.93485,0.76975,0.98174,0.91973,1.20873,0.000861409,0.000861409,0.000861409
23,462.708,0.67788,0.51553,1.05058,0.83285,0.83342,0.95134,0.77437,0.97048,0.91979,1.195,0.000889753,0.000889753,0.000889753
24,482.155,0.60144,0.46084,0.99962,0.86625,0.87568,0.94469,0.76732,1.01642,1.04179,1.22514,0.000917106,0.000917106,0.000917106
