epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.992741,1.16977,3.88796,1.4163,0.06386,0.60563,0.04706,0.0241,1.11983,4.97938,1.34193,3.75e-05,3.75e-05,3.75e-05
2,2.02815,1.16217,3.65916,1.3511,0.22015,0.80986,0.27536,0.20334,0.9613,3.10147,1.27581,8.66338e-05,8.66338e-05,8.66338e-05
3,3.2157,0.98636,1.52133,1.34107,0.84022,0.43486,0.39219,0.28358,1.05966,3.14497,1.21471,0.000134777,0.000134777,0.000134777
4,4.34399,0.84464,1.08626,1.11108,0.86032,0.46479,0.44707,0.34329,0.88425,1.80651,1.11169,0.000181931,0.000181931,0.000181931
5,5.413,0.80179,0.97025,1.13804,0.85262,0.4718,0.42978,0.32461,0.90713,1.42239,1.13358,0.000228095,0.000228095,0.000228095
6,6.41387,0.72432,0.7687,1.05417,0.86738,0.47887,0.51912,0.39044,0.9658,1.85393,1.15949,0.000273269,0.000273269,0.000273269
7,7.46178,0.71637,0.80218,1.05089,0.9007,0.48592,0.489,0.38311,0.87983,1.14862,1.1227,0.000317452,0.000317452,0.000317452
8,8.47237,0.71929,1.00341,1.06592,0.7928,0.96479,0.91319,0.77858,0.79756,1.43785,1.12227,0.000360646,0.000360646,0.000360646
9,9.54195,0.73925,0.79532,1.08441,0.91005,0.9507,0.95955,0.81564,0.84186,1.25341,1.18398,0.00040285,0.00040285,0.00040285
10,10.6978,0.70375,0.69737,1.07767,0.90302,0.90141,0.95337,0.7977,0.82381,1.13238,1.15761,0.000444064,0.000444064,0.000444064
11,11.6912,0.66727,0.67929,1.04116,0.68367,0.97887,0.96534,0.80817,0.85376,1.32725,1.15059,0.000484288,0.000484288,0.000484288
12,12.7228,0.67202,0.61749,1.02416,0.32027,1,0.52995,0.39677,0.95726,1.65341,1.25078,0.000523521,0.000523521,0.000523521
13,13.7485,0.74971,0.60453,1.05021,0.74405,0.9191,0.93827,0.72188,0.92885,1.2002,1.24166,0.000561765,0.000561765,0.000561765
14,14.781,0.67103,0.5918,1.02222,0.37739,0.98592,0.53822,0.40585,0.90723,0.93258,1.19053,0.000599019,0.000599019,0.000599019
15,15.8109,0.67837,0.55297,1.02064,0.45225,0.98592,0.93483,0.77585,0.90495,1.05431,1.19311,0.000635282,0.000635282,0.000635282
16,16.8371,0.65407,0.56081,1.03513,0.87717,0.89437,0.93698,0.83615,0.90187,0.88586,1.18029,0.000670556,0.000670556,0.000670556
17,17.8912,0.64746,0.51869,1.02576,0.87168,0.85211,0.94014,0.85009,0.80085,0.77889,1.11486,0.00070484,0.00070484,0.00070484
18,18.9745,0.64778,0.53164,1.04642,0.42783,0.91355,0.50841,0.41351,0.84949,1.00102,1.14813,0.000738134,0.000738134,0.000738134
19,20.0016,0.67784,0.56932,1.04551,0.42578,0.40405,0.44041,0.32606,0.95007,1.23211,1.25147,0.000770438,0.000770438,0.000770438
20,21.0385,0.67432,0.51121,1.00918,0.40381,0.42254,0.43532,0.32617,0.93356,1.0856,1.23577,0.000801751,0.000801751,0.000801751
21,22.0979,0.66915,0.51976,1.01052,0.4093,0.41316,0.43492,0.32961,0.94468,1.05411,1.22209,0.000832075,0.000832075,0.000832075
22,23.1152,0.68769,0.52216,1.02566,0.40373,0.42958,0.42976,0.32056,0.92083,1.02586,1.21352,0.000861409,0.000861409,0.000861409
23,24.2115,0.65289,0.54609,1.03936,0.36281,0.42958,0.43007,0.32597,0.93686,0.93697,1.18694,0.000889753,0.000889753,0.000889753
24,25.2637,0.67367,0.54592,1.03032,0.89748,0.37324,0.46913,0.35368,0.99941,0.94966,1.23815,0.000917106,0.000917106,0.000917106
25,26.2902,0.67738,0.51399,1.0543,0.87982,0.40062,0.42144,0.31144,0.9827,1.05841,1.25401,0.00094347,0.00094347,0.00094347
26,27.3659,0.67361,0.52452,1.04774,0.87404,0.39437,0.44019,0.32918,0.96875,1.07324,1.23576,0.000940625,0.000940625,0.000940625
27,28.3928,0.69919,0.50692,1.08133,0.90283,0.39437,0.4388,0.32168,0.96742,1.06413,1.22333,0.00092825,0.00092825,0.00092825
28,29.4109,0.66917,0.48495,1.02164,0.83895,0.39437,0.42549,0.31763,0.99796,1.01361,1.27565,0.000915875,0.000915875,0.000915875
29,30.4498,0.58802,0.49491,0.99653,0.9278,0.38732,0.51061,0.37733,1.02849,0.94353,1.32112,0.0009035,0.0009035,0.0009035
30,31.4782,0.63864,0.46819,1.05642,0.51757,0.96479,0.67901,0.53964,1.02893,0.93482,1.28574,0.000891125,0.000891125,0.000891125
31,32.4895,0.63553,0.48498,1.03964,0.46304,0.95397,0.90674,0.68003,1.08583,0.98182,1.37388,0.00087875,0.00087875,0.00087875
32,33.4776,0.67686,0.5245,1.04865,0.59399,0.9507,0.91134,0.73175,1.03713,1.05248,1.35668,0.000866375,0.000866375,0.000866375
33,34.5255,0.65213,0.50457,1.01476,0.47407,0.9507,0.5941,0.43864,1.01964,1.08137,1.33586,0.000854,0.000854,0.000854
34,35.5689,0.58958,0.47139,1.04601,0.37562,0.96479,0.55286,0.41142,1.05903,0.9712,1.39124,0.000841625,0.000841625,0.000841625
35,36.5757,0.62171,0.51043,0.98849,0.89916,0.39027,0.46002,0.33204,1.04856,0.96437,1.35756,0.00082925,0.00082925,0.00082925
36,37.6097,0.64381,0.48478,1.04328,0.41233,0.38732,0.45468,0.34901,0.99516,1.00392,1.30866,0.000816875,0.000816875,0.000816875
37,38.681,0.61013,0.46788,0.99556,0.41363,0.39437,0.46201,0.35768,0.92257,0.96012,1.26201,0.0008045,0.0008045,0.0008045
38,39.7088,0.59417,0.46923,1.00413,0.41818,0.39437,0.44622,0.34118,0.91916,0.93341,1.2689,0.000792125,0.000792125,0.000792125
39,40.7304,0.56562,0.44697,0.99105,0.3472,0.45775,0.43813,0.33677,0.92175,0.94714,1.28442,0.00077975,0.00077975,0.00077975
40,41.7741,0.59638,0.41526,1.02678,0.89051,0.4019,0.43928,0.34335,0.90983,0.9067,1.28685,0.000767375,0.000767375,0.000767375
